Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow2  7.1s: 	22.7264 Mbit/s
flow3  7.1s: 	22.6406 Mbit/s
flow0  7.2s: 	22.7693 Mbit/s
flow1  7.2s: 	22.6406 Mbit/s
flow2  7.2s: 	22.6406 Mbit/s
flow3  7.2s: 	22.7693 Mbit/s
flow0  7.3s: 	22.6406 Mbit/s
flow1  7.3s: 	22.7264 Mbit/s
flow2  7.3s: 	22.7693 Mbit/s
flow3  7.3s: 	22.7264 Mbit/s
flow0  7.4s: 	22.0403 Mbit/s
flow1  7.4s: 	23.5411 Mbit/s
flow2  7.4s: 	21.8259 Mbit/s
flow3  7.4s: 	23.4554 Mbit/s
flow0  7.5s: 	21.7402 Mbit/s
flow1  7.5s: 	23.6269 Mbit/s
flow2  7.5s: 	21.783 Mbit/s
flow3  7.5s: 	23.6698 Mbit/s
flow0  7.6s: 	22.2118 Mbit/s
flow1  7.6s: 	23.1552 Mbit/s
flow2  7.6s: 	22.3834 Mbit/s
flow3  7.6s: 	23.1123 Mbit/s
flow0  7.7s: 	22.9408 Mbit/s
flow1  7.7s: 	22.5549 Mbit/s
flow2  7.7s: 	22.855 Mbit/s
flow3  7.7s: 	22.512 Mbit/s
flow0  7.8s: 	23.2838 Mbit/s
flow1  7.8s: 	22.0403 Mbit/s
flow2  7.8s: 	23.241 Mbit/s
flow3  7.8s: 	22.2547 Mbit/s
flow0  7.9s: 	22.855 Mbit/s
flow1  7.9s: 	22.5549 Mbit/s
flow2  7.9s: 	22.9837 Mbit/s
flow3  7.9s: 	22.4691 Mbit/s
flow0  8s: 	22.7693 Mbit/s
flow1  8s: 	22.7693 Mbit/s
flow2  8s: 	22.6406 Mbit/s
flow3  8s: 	22.6406 Mbit/s
flow0  8.1s: 	22.7264 Mbit/s
flow1  8.1s: 	22.6835 Mbit/s
flow2  8.1s: 	22.7264 Mbit/s
flow3  8.1s: 	22.7264 Mbit/s
flow0  8.2s: 	22.6406 Mbit/s
flow1  8.2s: 	22.7264 Mbit/s
flow2  8.2s: 	22.7264 Mbit/s
flow3  8.2s: 	22.7693 Mbit/s
flow0  8.3s: 	22.7693 Mbit/s
flow1  8.3s: 	22.7264 Mbit/s
flow2  8.3s: 	22.6835 Mbit/s
flow3  8.3s: 	22.6406 Mbit/s
flow0  8.4s: 	22.7264 Mbit/s
flow1  8.4s: 	22.6406 Mbit/s
flow2  8.4s: 	22.7693 Mbit/s
flow3  8.4s: 	22.7264 Mbit/s
flow0  8.5s: 	22.6835 Mbit/s
flow1  8.5s: 	22.7693 Mbit/s
flow2  8.5s: 	22.6406 Mbit/s
flow3  8.5s: 	22.7693 Mbit/s
flow0  8.6s: 	22.7264 Mbit/s
flow1  8.6s: 	22.7264 Mbit/s
flow2  8.6s: 	22.7264 Mbit/s
flow3  8.6s: 	22.6406 Mbit/s
flow0  8.7s: 	22.6835 Mbit/s
flow1  8.7s: 	22.6406 Mbit/s
flow2  8.7s: 	22.7693 Mbit/s
flow3  8.7s: 	22.7693 Mbit/s
flow0  8.8s: 	22.7264 Mbit/s
flow1  8.8s: 	22.7693 Mbit/s
flow2  8.8s: 	22.6406 Mbit/s
flow3  8.8s: 	22.7264 Mbit/s
flow0  8.9s: 	22.7693 Mbit/s
flow1  8.9s: 	22.6406 Mbit/s
flow2  8.9s: 	22.7693 Mbit/s
flow3  8.9s: 	22.6406 Mbit/s
flow0  9s: 	22.6406 Mbit/s
flow1  9s: 	22.7693 Mbit/s
flow2  9s: 	22.6835 Mbit/s
flow3  9s: 	22.7693 Mbit/s
flow0  9.1s: 	22.7264 Mbit/s
flow1  9.1s: 	22.7264 Mbit/s
flow2  9.1s: 	22.6835 Mbit/s
flow3  9.1s: 	22.7264 Mbit/s
flow0  9.2s: 	22.7264 Mbit/s
flow1  9.2s: 	22.6406 Mbit/s
flow2  9.2s: 	22.7693 Mbit/s
flow3  9.2s: 	22.6835 Mbit/s
flow0  9.3s: 	22.6835 Mbit/s
flow1  9.3s: 	22.7693 Mbit/s
flow2  9.3s: 	22.6835 Mbit/s
flow3  9.3s: 	22.7264 Mbit/s
flow0  9.4s: 	22.7693 Mbit/s
flow1  9.4s: 	22.6835 Mbit/s
flow2  9.4s: 	22.7264 Mbit/s
flow3  9.4s: 	22.6406 Mbit/s
flow0  9.5s: 	22.6406 Mbit/s
flow1  9.5s: 	22.7264 Mbit/s
flow2  9.5s: 	22.7264 Mbit/s
flow3  9.5s: 	22.7693 Mbit/s
flow0  9.6s: 	22.7264 Mbit/s
flow1  9.6s: 	22.7264 Mbit/s
flow2  9.6s: 	22.6406 Mbit/s
flow3  9.6s: 	22.7693 Mbit/s
flow0  9.7s: 	22.7693 Mbit/s
flow1  9.7s: 	22.6406 Mbit/s
flow2  9.7s: 	22.7693 Mbit/s
flow3  9.7s: 	22.6406 Mbit/s
flow0  9.8s: 	22.6406 Mbit/s
flow1  9.8s: 	22.7693 Mbit/s
flow2  9.8s: 	22.7264 Mbit/s
flow3  9.8s: 	22.7264 Mbit/s
flow0  9.9s: 	22.7693 Mbit/s
flow1  9.9s: 	22.7693 Mbit/s
flow2  9.9s: 	22.6835 Mbit/s
flow3  9.9s: 	22.6406 Mbit/s
flow0  10s: 	22.6835 Mbit/s
flow1  10s: 	22.6406 Mbit/s
flow2  10s: 	22.7264 Mbit/s
flow3  10s: 	17.8381 Mbit/s
flow0  10.1s: 	24.2272 Mbit/s
flow1  10.1s: 	21.1827 Mbit/s
flow2  10.1s: 	24.1843 Mbit/s
flow3  10.1s: 	26.1997 Mbit/s
flow0  10.2s: 	24.0557 Mbit/s
flow1  10.2s: 	21.2685 Mbit/s
flow2  10.2s: 	24.0986 Mbit/s
flow3  10.2s: 	21.44 Mbit/s
flow0  10.3s: 	23.7555 Mbit/s
flow1  10.3s: 	21.8688 Mbit/s
flow2  10.3s: 	23.7126 Mbit/s
flow3  10.3s: 	21.4829 Mbit/s
flow0  10.4s: 	23.2838 Mbit/s
flow1  10.4s: 	22.0832 Mbit/s
flow2  10.4s: 	23.3696 Mbit/s
flow3  10.4s: 	22.1261 Mbit/s
flow0  10.5s: 	23.0694 Mbit/s
flow1  10.5s: 	22.4262 Mbit/s
flow2  10.5s: 	23.0266 Mbit/s
flow3  10.5s: 	22.3405 Mbit/s
flow0  10.6s: 	22.8979 Mbit/s
flow1  10.6s: 	22.5549 Mbit/s
flow2  10.6s: 	22.9408 Mbit/s
flow3  10.6s: 	22.4262 Mbit/s
flow0  10.7s: 	22.2976 Mbit/s
flow1  10.7s: 	22.7264 Mbit/s
flow2  10.7s: 	23.0694 Mbit/s
flow3  10.7s: 	22.7693 Mbit/s
flow0  10.8s: 	21.6973 Mbit/s
flow1  10.8s: 	23.0266 Mbit/s
flow2  10.8s: 	23.1123 Mbit/s
flow3  10.8s: 	22.9837 Mbit/s
flow0  10.9s: 	22.169 Mbit/s
flow1  10.9s: 	22.8979 Mbit/s
flow2  10.9s: 	22.855 Mbit/s
flow3  10.9s: 	22.9408 Mbit/s
flow0  11s: 	22.512 Mbit/s
flow1  11s: 	23.1123 Mbit/s
flow2  11s: 	22.0403 Mbit/s
flow3  11s: 	23.1981 Mbit/s
flow0  11.1s: 	23.0266 Mbit/s
flow1  11.1s: 	23.1123 Mbit/s
flow2  11.1s: 	21.6115 Mbit/s
flow3  11.1s: 	23.0694 Mbit/s
flow0  11.2s: 	22.855 Mbit/s
flow1  11.2s: 	22.855 Mbit/s
